Lob F Name,Lob L Name,Report,Pub Off,Recipient,Date,Type,Description,Cost,Principal
Doug,Galloway,Jan-13,,"HUMMEL, JACOB - Representative",1/16/2013,"Meals, Food, & Beverage",dinner in columbia,$22.63 ,CENTURYLINK
Doug,Galloway,Jan-13,,"RIZZO, JOHN JOSEPH  - Representative",1/16/2013,"Meals, Food, & Beverage",dinner in columbia,$22.63 ,CENTURYLINK
Doug,Galloway,Jan-13,,"WEBB, STEVE - Representative",1/16/2013,"Meals, Food, & Beverage",dinner in columbia,$22.63 ,CENTURYLINK
Doug,Galloway,Jan-13,,"WEBB, STEVE - Representative",1/16/2013,Entertainment,MU Basketball game,$20.00 ,CENTURYLINK
Doug,Galloway,Jan-13,,"RIZZO, JOHN JOSEPH  - Representative",1/16/2013,Entertainment,MU Basketball game,$20.00 ,CENTURYLINK
Michelle R.,Galloway,Jan-13,,"RHOADS, SHAWN  - Representative",1/16/2013,Entertainment,1 ticket MU Basketball,$70.00 ,MISSOURI ENERGY DEVELOPMENT ASSOCIATION
Michelle R.,Galloway,Jan-13,,"BERNSKOETTER, MIKE  - Representative",1/16/2013,Entertainment,ticket to MU Basketball,$70.00 ,MISSOURI ENERGY DEVELOPMENT ASSOCIATION
William A,Gamble,Jan-13,,"DAVIS, CHARLIE  - Representative",1/22/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$15.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"COLONA, MIKE - Representative",1/22/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$15.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"SCHATZ, DAVE  - Representative",1/22/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$7.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"PACE, SHARON L  - Representative",1/22/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$30.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"MIMS, BONNAYE  - Representative",1/22/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$67.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"NETH, MYRON  - Representative",1/22/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$15.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"MONTECILLO, GENISE  - Representative",1/22/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$16.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"LAFAVER, JEREMY  - Representative",1/22/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$8.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"BERRY, T.J.  - Representative",1/22/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$21.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"PARSON, MIKE - Senator",1/15/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$36.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"MCGAUGH, JOE DON - Representative",1/15/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$15.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"NEELY, JAMES  - Representative",1/15/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$21.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"LAFAVER, JEREMY  - Representative",1/15/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$58.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"ELLINGTON, BRANDON - Representative",1/15/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$84.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"ENGLUND, VICKI LORENZ - Representative",1/15/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$28.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"FRAKER, LYNDALL  - Representative",1/15/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$7.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"COLONA, MIKE - Representative",1/15/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$28.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"SMITH, CLEM  - Representative",1/15/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$15.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"NORR, CHARLIE - Representative",1/15/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$38.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"SMITH, CLEM  - Representative",1/15/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$74.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"RUNIONS, JOE  - Representative",1/15/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$15.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"MAY, KARLA  - Representative",1/15/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$7.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"BAHR, KURT  - Representative",1/8/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$22.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"PARSON, MIKE - Senator",1/8/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$14.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"MUNZLINGER, BRIAN - Senator",1/8/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$50.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"CURLS, SHALONN (KIKI) - Senator",1/8/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$80.75 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"WALSH, GINA  - Senator",1/8/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$60.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"MONTECILLO, GENISE  - Representative",1/8/2013,Other,nonalcoholic beverages,$23.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"STREAM, RICK - Representative",1/8/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$36.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"MCKENNA, RYAN - Senator",1/8/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$76.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"NASHEED, JAMILAH  - Senator",1/8/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$213.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"GRAY, ROCHELLE WALTON - Representative",1/8/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$175.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"MEREDITH, SUSAN  - Representative",1/8/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$15.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"PEARCE, DAVID - Senator",1/8/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$154.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"WEBB, STEVE - Representative",1/8/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$15.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"BLACK, LINDA - Representative",1/8/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$30.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"FOWLER, DENNIS  - Representative",1/11/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$76.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"NIEVES, BRIAN  - Senator",1/11/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$58.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"SHUMAKE, LINDELL F.  - Representative",1/11/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$38.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"FITZWATER, PAUL  - Representative",1/14/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$30.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"REDMON, CRAIG  - Representative",1/14/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$30.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"FRAKER, LYNDALL  - Representative",1/14/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$30.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"GANNON, ELAINE  - Representative",1/14/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$45.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"ROORDA, JEFF - Representative",1/10/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$61.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"HIGDON, JR., GALEN WAYNE  - Representative",1/11/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$92.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"GANNON, ELAINE  - Representative",1/11/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$32.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"KELLEY, MIKE  - Representative",1/10/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$90.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"WILSON, KENNETH  - Representative",1/10/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$122.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"KEAVENY, JOSEPH (JOE) - Senator",1/10/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$28.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"MARSHALL, NICK  - Representative",1/10/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$30.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"KELLEY, MIKE  - Representative",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$69.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"HOLSMAN, JASON  - Senator",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$91.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"KOENIG, ANDREW - Representative",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$45.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"FITZWATER, PAUL  - Representative",1/8/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$37.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"FOWLER, DENNIS  - Representative",1/8/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$15.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"HODGES, STEVE - Representative",1/8/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$29.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"BEATTY, GAIL MCCANN  - Representative",1/8/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$24.75 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"SWEARINGEN, JAY  - Representative",1/8/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$15.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"JUSTUS, JOLIE - Senator",1/29/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$7.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"WEBBER, STEPHEN - Representative",1/29/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$7.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"KELLY, CHRIS - Representative",1/29/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$21.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"MCKENNA, TIMOTHY  - Representative",1/29/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$7.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"RIZZO, JOHN JOSEPH  - Representative",1/29/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$16.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"PIERSON, TOMMIE  - Representative",1/29/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$22.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"HODGES, STEVE - Representative",1/29/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$7.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"MAYFIELD, JOHN  - Representative",1/29/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$22.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"FRAME, MICHAEL - Representative",1/29/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$7.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"LAFAVER, JEREMY  - Representative",1/29/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$8.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"DUGGER, TONY - Representative",1/29/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$94.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"BAHR, KURT  - Representative",1/29/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$7.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"WIELAND, PAUL  - Representative",1/29/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$15.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"DUGGER, TONY - Representative",1/29/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$16.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"MUNZLINGER, BRIAN - Senator",1/29/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$45.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"CURLS, SHALONN (KIKI) - Senator",1/29/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$64.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"RICHARD, RON  - Senator",1/29/2013,"Meals, Food, & Beverage",,$69.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,Senate Research - Public Official,Jessica Baker - Employee or Staff,1/15/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$7.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,Senate Research - Public Official,Michele Barbarick - Employee or Staff,1/15/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$7.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,Senate Research - Public Official,Polly Clark - Employee or Staff,1/15/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$7.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,Senate Research - Public Official,Adriane Crouse - Employee or Staff,1/15/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$7.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,Senate Research - Public Official,Jim Ertle - Employee or Staff,1/15/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$7.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,Senate Research - Public Official,Mike Hammann - Employee or Staff,1/15/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$7.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,Senate Research - Public Official,Chris Hogerty - Employee or Staff,1/15/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$7.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,Senate Research - Public Official,Jackie Jenkins - Employee or Staff,1/15/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$7.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,Senate Research - Public Official,Meghan Luecke - Employee or Staff,1/15/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$7.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,Senate Research - Public Official,Michael Ruff - Employee or Staff,1/15/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$7.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,Senate Research - Public Official,Diane Schnieders - Employee or Staff,1/15/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$7.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,Senate Research - Public Official,Steve Witte - Employee or Staff,1/15/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$7.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"DIXON, BOB - Senator",1/8/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$30.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"LEVOTA, PAUL  - Senator",1/3/2013,"Meals, Food, & Beverage",Non-alcoholic Beverages,$24.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"THOMSON, MIKE - Representative",1/3/2013,"Meals, Food, & Beverage",Non-alcoholic Beverages,$14.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"GATSCHENBERGER, CHUCK - Representative",1/13/2013,"Meals, Food, & Beverage",Non-alcoholic Beverages,$8.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"SILVEY, RYAN - Representative",1/15/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$15.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"ELLINGER, RORY  - Representative",1/15/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$7.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"MCCAHERTY, JOHN C.  - Representative",1/15/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$44.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"LEARA, MIKE - Representative",1/15/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$30.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"SCHARNHORST, DWIGHT D. - Representative",1/15/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$30.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"HOUGH, LINCOLN  - Representative",1/15/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$7.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"ENTLICHER, SUE  - Representative",1/15/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$22.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"PARSON, MIKE - Senator",1/8/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$8.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"DAVIS, CHARLIE  - Representative",1/8/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$7.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"DUGGER, TONY - Representative",1/8/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$22.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"HOSKINS, DENNY L - Representative",1/8/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$59.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"LYNCH, STEVE  - Representative",1/8/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$21.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"HUMMEL, JACOB - Representative",1/8/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$15.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"PURGASON, CHUCK - Senator",1/8/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$15.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"MCKENNA, TIMOTHY  - Representative",1/8/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$14.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"KELLY, CHRIS - Representative",1/8/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$14.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"AUSTIN, KEVIN  - Representative",1/8/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$7.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"ANDERSON, SONYA  - Representative",1/8/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$14.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"MCDONALD, TOM - Representative",1/8/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$7.50 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"KOLKMEYER, GLEN  - Representative",1/8/2013,"Meals, Food, & Beverage",non-alchoholic beverages,$30.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"MEREDITH, SUSAN  - Representative",1/3/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$16.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"SWEARINGEN, JAY  - Representative",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$32.40 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"MCDONALD, TOM - Representative",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$7.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"SOMMER, CHRISSY - Representative",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$7.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"HUMMEL, JACOB - Representative",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$15.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"DIXON, BOB - Senator",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$8.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"MCKENNA, TIMOTHY  - Representative",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$8.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"CHAPPELLE-NADAL, MARIA N. - Senator",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$32.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"RICHARD, RON  - Senator",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$28.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"ANDERSON, SONYA  - Representative",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$8.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"AUSTIN, KEVIN  - Representative",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$23.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"MUNZLINGER, BRIAN - Senator",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$15.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"KOLKMEYER, GLEN  - Representative",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$8.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"BAHR, KURT  - Representative",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$23.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"HOSKINS, DENNY L - Representative",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$16.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"LYNCH, STEVE  - Representative",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$38.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"DAVIS, CHARLIE  - Representative",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$16.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"HOUGH, LINCOLN  - Representative",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$16.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"HODGES, STEVE - Representative",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$15.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"FUNDERBURK, DOUG - Representative",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$7.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"FITZWATER, PAUL  - Representative",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$16.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"PIERSON, TOMMIE  - Representative",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$15.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"ENGLUND, VICKI LORENZ - Representative",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$33.30 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"BEATTY, GAIL MCCANN  - Representative",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$7.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"RUNIONS, JOE  - Representative",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$15.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"FRAKER, LYNDALL  - Representative",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$14.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"LAFAVER, JEREMY  - Representative",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$8.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"WALSH, GINA  - Senator",1/9/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$31.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"SCHARNHORST, DWIGHT D. - Representative",1/16/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$89.00 ,MISSOURI BEVERAGE ASSOCIATION
William A,Gamble,Jan-13,,"ELLINGTON, BRANDON - Representative",1/16/2013,"Meals, Food, & Beverage",nonalcoholic beverages,$15.00 ,MISSOURI BEVERAGE ASSOCIATION
